Név#T1#T2#T3#T4#T5#Nem#Kor#Fakt
Kiss Pista#4#4#3#4#5#f#16#1
Nagy Béla#5#5#5#3#3#f#18#0
Kovács Eszter#5#5#5#4#5#l#18#0
Tóth Bálint#3#5#3#4#3#f#18#1
Balogh Rebeka#5#4#5#5#4#l#16#0
Németh Viola#1#3#4#4#3#l#18#0
Nagy Károly#4#4#4#3#5#f#18#1
Marx György#3#5#3#3#5#f#16#0
Novobátzky Károly#5#5#3#5#4#f#18#0
Vass Lili#4#5#3#4#3#l#17#0
Hosszú Katinka#4#4#5#4#4#l#17#0
Kozák Danuta#3#3#5#5#5#l#16#1
Szász Emese#3#3#5#4#5#l#18#0
Gyurta Dániel#1#5#3#4#4#f#18#0
Cseh László#5#4#3#5#3#f#18#1
Imre Géza#5#5#4#4#3#f#16#0
Szilágyi Áron#3#5#4#4#3#f#18#0
Ágh Nóra#3#3#5#3#4#l#16#0
László Noémi#3#3#4#5#4#l#17#0
Bencze Laura#1#3#4#4#4#l#18#1
Horváth Bence#5#3#3#5#4#f#18#0
Péteri Bence#1#3#4#3#3#f#16#0
Horváth Bettina#3#5#5#4#3#l#18#0
Aczél Manuéla#4#3#3#3#5#l#18#0
Major Flóra#1#3#3#3#5#l#18#0
Aradi Mátyás#4#4#5#5#4#f#17#0
Nagy Dávid#3#3#4#4#5#f#17#1
Rudd Balázs#1#5#4#5#4#f#16#1
Nagy Béla#3#4#3#4#3#f#18#0
Németh Nikolett#3#3#4#3#5#l#16#1
