név	születési dátum	nem	állampolgárság	TAJ-szám
Papp János	1999/05/18	ffi	hun	345 647 242
Takács Krisztina	1996/12/04	nõ		252 246 474
Mészáros Borbála	1989/01/26	nõ	hun	 
Oláh György	1990/05/27	ffi	HUN	564 435 234
Rácz János	2005/03/25	ffi	hun	346 765 353
Fekete Vera	2010/04/09	nõ	 	435 123 245
Szilágyi Judit	2010/12/02	nõ	hun	245 764 123
Fehér Anita	2004/05/26	nõ	HUN	  
 	1988/04/04	nõ	HUN	 
Gál Tamás	1989/12/30	férfi	hun	124 634 123
Pintér Helga	  	nõ	 	346 234 231
Balázs Eszter	2009/08/20	nõ	hun	223 653 012
Szûcs Dávid	2000/11/22	ffi		346 764 121
Fodor Blanka	1996/06/02	nõ	hun	564 754 123
Török János	2001/01/28	férfi	HUN	455 765 234
Kocsis Ferenc		ffi	hun	457 764 234
 		 	 	
  	 	  	  	
